"","sim","stv","theta_1","halflife_1","halflife_2","alpha_1","alpha_2","sigma2_1","sigma2_2","theta_2","delta_cont","var_cont","rho_1","rho_2"
"1",1,6.19891858,1,0.285536335674355,0.9097380127407,2.42752705683825,0.76191955359956,66.2830065359564,9.37205125724339,-1,16.746094479966,8.15810894969834,0.795633361687983,0.486739670893028
"2",2,6.19891858,1,0.371637371551143,0.958083855843455,1.86511700281078,0.723472351957887,30.0960851521747,9.44615455454724,-1,11.6909634332967,4.31034801950155,0.738350790756808,0.471498853997673
"3",3,6.19891858,1,0.301180271140477,0.264513715130894,2.30143620608087,2.62045837667413,23.1234168851954,8.96949240933609,-1,9.9015180377225,2.8531719094458,0.784921912430504,0.810204083241914
"4",4,6.19891858,1,0.956625607114401,0.98532871850456,0.724575189504678,0.703467956979818,28.5328313171188,32.4880162385638,-1,16.7741186052885,9.52790352323607,0.471945532765932,0.463296454354968
"5",5,6.19891858,1,0.194012551264797,0.543569456126653,3.57269246778734,1.2751768384838,8.98316520965514,8.72148117791367,-1,8.5674766729476,2.24423017180755,0.860159877425197,0.638502709233711
"6",6,6.19891858,1,0.62082502264684,0.533084043945023,1.11649362586058,1.30025872736763,44.293659438386,15.8094347937258,-1,17.0848086068531,11.1495414051831,0.600180294673862,0.644007448099058
"7",7,6.19891858,1,0.621207550705138,0.106463511649655,1.1158061098471,6.51065486963194,13.8421061635974,16.1203959677727,-1,8.79088829733497,2.24217420566777,0.600000044052241,0.92320297978953
"8",8,6.19891858,1,0.679604212691931,0.101626920921308,1.01992772795561,6.82050754146793,13.8335824520174,80.7180388786578,-1,12.9880627153067,4.82672972685719,0.573522481560597,0.926691759875657
"9",9,6.19891858,1,0.764080878691141,0.625958622970892,0.907164673126352,1.10733705891001,12.6448978861625,84.5595418476713,-1,15.7597784681404,4.69640864533726,0.538643384237597,0.597768853879077
"10",10,6.19891858,1,0.767053546216074,0.589649918487119,0.903649013786959,1.1755232364627,11.2468798947251,13.7285845375996,-1,9.45412820138008,2.14730812816276,0.537484651957091,0.61517962440566
