"","sim","halflife","theta_1","stv_1","stv_2","sigma2_1","sigma2_2","theta_2","alpha","rho","delta_cont","var_cont"
"1",1,0.1,1,14.2704188944481,13.4983621002626,197.830012441922,187.127032639485,-1,6.93147180559945,0.927865316756908,22.0345102942161,13.1104606080492
"2",2,0.1,1,18.1084329552944,31.5561693615435,251.036184946422,437.46139644452,-1,6.93147180559945,0.927865316756908,30.5140893163705,23.5476698208774
"3",3,0.1,1,6.55531372504482,1.51792765701975,90.8759445240145,21.0429455151441,-1,6.93147180559945,0.927865316756908,14.1614819342237,6.05883612130948
"4",4,0.1,1,7.15594796312283,9.89829722117889,99.2025030974455,137.21953622409,-1,6.93147180559945,0.927865316756908,20.1503497750996,10.0839594603652
"5",5,0.1,1,12.3772256348586,13.9939229529173,171.58478103913,193.996964795755,-1,6.93147180559945,0.927865316756908,20.4057457945312,11.5782166280137
"6",6,0.1,1,22.3578041806703,21.7346970092651,309.94497862686,301.306879045935,-1,6.93147180559945,0.927865316756908,27.7190505201991,18.4161336998243
"7",7,0.1,1,21.0498659104152,20.6223792691534,291.813104139384,285.886880937031,-1,6.93147180559945,0.927865316756908,32.472374951531,19.5864136102061
"8",8,0.1,1,11.2959406123324,10.2910437341256,156.594987744215,142.664158986565,-1,6.93147180559945,0.927865316756908,16.4953214929648,10.6677168944337
"9",9,0.1,1,21.0451965347495,28.989727877704,291.74837284783,401.882962872612,-1,6.93147180559945,0.927865316756908,29.3176772006869,24.9347429231405
"10",10,0.1,1,12.5500279357088,24.0936724496589,173.980329591702,334.009222556318,-1,6.93147180559945,0.927865316756908,25.3912237244927,18.9311985447276
"11",11,0.1,1,21.0973201957409,22.1918456421808,292.470960220964,307.644304765982,-1,6.93147180559945,0.927865316756908,32.8426971618613,23.2796952285073
"12",12,0.1,1,11.7228154306868,13.8645998619775,162.512729280103,192.20416607843,-1,6.93147180559945,0.927865316756908,19.9280271443515,12.2481170837112
"13",13,0.1,1,16.6466392106265,17.2767541955458,230.771420692888,239.506669197395,-1,6.93147180559945,0.927865316756908,22.4241617899451,16.7160434835708
"14",14,0.1,1,23.4829212459089,32.6865376573891,325.54241305826,453.131628389715,-1,6.93147180559945,0.927865316756908,33.1822386664055,29.8590238063563
"15",15,0.1,1,21.4036977535217,21.5885076054552,296.718255028216,299.280263584364,-1,6.93147180559945,0.927865316756908,24.8543862518088,20.6809230609097
"16",16,0.1,1,18.4232926510469,27.7425160387175,255.401067154078,384.592935477523,-1,6.93147180559945,0.927865316756908,26.4170493496428,24.3153213511731
"17",17,0.1,1,15.9677018897835,21.1063280101811,221.359350898503,292.595835044609,-1,6.93147180559945,0.927865316756908,23.4160035963562,19.2928832386925
"18",18,0.1,1,8.57570801319588,0.236584745237794,118.884556613041,3.27976098250139,-1,6.93147180559945,0.927865316756908,15.1614346553643,3.05192859667665
"19",19,0.1,1,16.5087992846196,28.8627012398757,228.860553571282,400.121999755277,-1,6.93147180559945,0.927865316756908,34.2067772862474,30.0715730117634
"20",20,0.1,1,20.7332453591026,13.1619685071579,287.42381129039,182.463627227106,-1,6.93147180559945,0.927865316756908,23.0423525614794,14.9775737560121
"21",21,0.1,1,18.8550699276237,15.0101062222965,261.38677119186,208.084256157803,-1,6.93147180559945,0.927865316756908,28.3930646437222,21.854318738023
"22",22,0.1,1,14.2126963636451,8.35604629872912,197.029808252304,115.839398651849,-1,6.93147180559945,0.927865316756908,19.7854320974726,9.77921287042596
"23",23,0.1,1,24.5650668523082,29.9466077249085,340.54413657888,415.1481342371,-1,6.93147180559945,0.927865316756908,25.5997052152944,27.8719101529936
"24",24,0.1,1,18.1183537440489,25.1764885673508,251.173716281504,349.020241337178,-1,6.93147180559945,0.927865316756908,27.9155867763354,18.4155484197546
"25",25,0.1,1,13.6866098301194,1.94279981642221,189.736700303425,26.9329243029087,-1,6.93147180559945,0.927865316756908,20.5370547697294,10.9318093941045
"26",26,0.1,1,21.9441248633527,33.0806297959213,304.210165577767,458.594905483803,-1,6.93147180559945,0.927865316756908,30.7363650703129,26.8114733901594
"27",27,0.1,1,6.96923523934725,1.77896094761285,96.6141151362512,24.6616353032819,-1,6.93147180559945,0.927865316756908,15.2339943668355,6.45382779606516
"28",28,0.1,1,23.020269162216,24.1803164119941,319.128693310421,335.210362920421,-1,6.93147180559945,0.927865316756908,27.5877035514757,24.1569331947895
"29",29,0.1,1,13.4262839705738,13.8544944895627,186.127817592008,192.064075870474,-1,6.93147180559945,0.927865316756908,24.9132275779528,14.2625968796834
"30",30,0.1,1,15.9817338658402,20.5361419831464,221.55387539133,284.691378303933,-1,6.93147180559945,0.927865316756908,23.5154338981999,18.3675419501739
"31",31,0.1,1,8.89580754822882,1.57965950950468,123.322078417174,21.8987307051576,-1,6.93147180559945,0.927865316756908,13.3269771401668,4.96150032505344
"32",32,0.1,1,18.1312977604769,14.186851501058,251.353158451348,196.671522379619,-1,6.93147180559945,0.927865316756908,24.0696454381652,15.1249458981197
"33",33,0.1,1,8.17900630789715,4.45770713845093,113.385103242018,61.796942695584,-1,6.93147180559945,0.927865316756908,16.6215050450673,8.25053937367485
"34",34,0.1,1,21.4461334398619,17.1700019284242,297.306538555053,238.026768537921,-1,6.93147180559945,0.927865316756908,27.3735878233445,19.0982806534573
"35",35,0.1,1,19.0181792224852,12.2547266863212,263.647946148987,169.886585023125,-1,6.93147180559945,0.927865316756908,25.3688201066709,16.8513486185728
"36",36,0.1,1,8.77021742664726,10.9969790303937,121.581029643565,152.450500191884,-1,6.93147180559945,0.927865316756908,20.6598950270714,10.6818006462235
"37",37,0.1,1,14.8367829519546,12.3759056857463,205.681485434543,171.566482659017,-1,6.93147180559945,0.927865316756908,22.82154173833,13.5596719466795
"38",38,0.1,1,14.5731018397571,5.23781123682404,202.026089044811,72.6114818221957,-1,6.93147180559945,0.927865316756908,21.0738218223402,12.5017225195853
"39",39,0.1,1,17.8411744971608,15.7125870692894,247.3311960117,217.822708527612,-1,6.93147180559945,0.927865316756908,24.8155896024195,14.822203468195
"40",40,0.1,1,16.9290403796911,22.3539899774286,234.686332175368,309.892102542399,-1,6.93147180559945,0.927865316756908,26.7892214587665,21.5140184328042
"41",41,0.1,1,10.551459485869,18.5515889930154,146.274287868452,257.179632108311,-1,6.93147180559945,0.927865316756908,28.8841622092252,17.8829228210721
"42",42,0.1,1,8.0593174299872,9.87605514898849,111.725863076665,136.911195631518,-1,6.93147180559945,0.927865316756908,17.7272515413535,10.0102026354466
"43",43,0.1,1,15.7150947904706,18.2421941707201,217.857472924939,252.890509133234,-1,6.93147180559945,0.927865316756908,27.241589956803,15.7352017972868
"44",44,0.1,1,16.7599136397764,16.9140102380845,232.341737716784,234.477970169806,-1,6.93147180559945,0.927865316756908,23.9734454764811,17.2815291672394
"45",45,0.1,1,20.5683115722199,29.6249763526577,285.137343503254,410.689376659994,-1,6.93147180559945,0.927865316756908,31.654193563765,28.6720801571555
"46",46,0.1,1,9.67652074350067,12.5281854857993,134.145061419746,173.677528940276,-1,6.93147180559945,0.927865316756908,18.6675667675047,10.8989785326073
"47",47,0.1,1,20.9248800559356,9.81189141181198,290.080432286535,136.021697361156,-1,6.93147180559945,0.927865316756908,24.3912952899854,13.5981901470238
"48",48,0.1,1,24.3955637536242,28.3401737670816,338.1943246799,392.87823086463,-1,6.93147180559945,0.927865316756908,30.0897844246434,24.1439248111374
"49",49,0.1,1,24.5030700747019,25.3570107199005,339.684678746848,351.522809758547,-1,6.93147180559945,0.927865316756908,26.2227873264456,21.9712597124077
"50",50,0.1,1,9.68153219816007,10.9340752685538,134.2145349331,151.578468888565,-1,6.93147180559945,0.927865316756908,24.6921637626208,10.7429551731786
"51",51,0.1,1,18.5439635317345,15.2747428543823,257.073920768565,211.752898865865,-1,6.93147180559945,0.927865316756908,24.271873610666,12.9367923176904
"52",52,0.1,1,21.1529982065983,21.8180166754314,293.242821345863,302.461934879703,-1,6.93147180559945,0.927865316756908,25.8360142049629,19.4851331170191
"53",53,0.1,1,17.2625426012179,28.539299335,239.309654666602,395.638697384231,-1,6.93147180559945,0.927865316756908,31.1812805390155,21.4660025494053
"54",54,0.1,1,22.8361503527336,21.9400821163213,316.576264636805,304.154121203635,-1,6.93147180559945,0.927865316756908,29.4234450033442,24.5892789676016
"55",55,0.1,1,20.7558954881103,20.2295841496205,287.737808751611,280.441584344192,-1,6.93147180559945,0.927865316756908,24.8496674719639,19.3177903328124
"56",56,0.1,1,12.7083425261051,6.10433526370357,176.175035831196,84.6240555445755,-1,6.93147180559945,0.927865316756908,20.9886608136929,13.2483768064723
"57",57,0.1,1,10.9900186893613,15.7313230732225,152.354009376638,218.082444693636,-1,6.93147180559945,0.927865316756908,22.6660664898513,15.7531078810786
"58",58,0.1,1,10.0675422895465,4.81618837681971,139.565771063344,66.7665478887633,-1,6.93147180559945,0.927865316756908,19.0762206531774,8.62389231609814
"59",59,0.1,1,9.40877319779161,11.4774184242666,130.433292291545,159.110804417743,-1,6.93147180559945,0.927865316756908,17.9348737785746,11.0018479012588
