"","sim","stv","halflife","alpha","sigma2","rho","theta_1","theta_2","delta_cont"
"1",1,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-7.21637228503823,-2.49917133948374,18.460188278259
"2",2,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,3.31186443567276,0.185248234457715,16.6418881722655
"3",3,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,7.69186126068234,9.88773703687703,13.5059697270942
"4",4,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-9.19594300445169,-6.93949603101324,15.3164007359482
"5",5,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-7.39402436185628,-9.98000458555825,13.2043777152892
"6",6,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-8.60552322119474,-6.90324848517365,17.5693055160431
"7",7,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-5.48098635394126,-4.19289449680055,16.1956907323122
"8",8,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-6.39906391501427,-10.4372378695707,17.8466406785655
"9",9,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-8.27949706930667,-3.05659334391112,17.4181377298886
"10",10,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,6.52632016222924,-0.327934553826426,17.0490574452504
"11",11,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-4.69286757521331,-9.27152344615262,16.505217980152
"12",12,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,9.36837662942708,12.3037343984627,14.1713923755374
"13",13,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,5.48148569185287,4.97298432581419,13.1883871381143
"14",14,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,1.23078320175409,8.47253011065375,18.1481026208229
"15",15,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,4.96630538720638,4.13570127536178,14.5153949083273
"16",16,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-2.14153888169676,-3.25869426843756,15.1058978455925
"17",17,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-7.79873054940253,-10.4467254275908,15.2353772794022
"18",18,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-3.12773706391454,-5.9079194774436,15.1980784613652
"19",19,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-5.31598249450326,-10.9392669151331,17.5392796503098
"20",20,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,6.37699725106359,5.57140077887475,13.5000900494374
"21",21,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-9.40478413365781,-7.61779371499066,15.4949925410142
"22",22,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-8.75227593816817,-12.5503323373295,15.4244011804013
"23",23,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-8.31393741536885,-9.12252547658627,13.6745706402562
"24",24,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,2.83028255216777,-2.39582696613898,18.665469172384
"25",25,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-9.35746285133064,-7.94110277138859,16.7666918064968
"26",26,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-5.0015238346532,-4.02490081928688,16.5749172096363
"27",27,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,5.09062075987458,4.87419011501076,15.8215191594897
"28",28,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-2.99875194206834,-1.00372897614265,15.0505068861207
"29",29,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-9.46853500790894,-16.1218820370613,21.1506921032065
"30",30,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,5.30855050310493,4.81117629325255,14.6294733454076
"31",31,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,3.1422908604145,8.20310860002524,16.3657490982185
"32",32,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,2.99385349731892,3.51675091025724,15.1192476931973
"33",33,6.19891858,0.1,6.93147180559945,85.9352587249532,0.927865316756908,-5.88362999726087,-2.78193265474049,14.4126657472991
