"","order","family","genus","species","iucn2020_binomial","phylacine_binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","binomial_name","log_body_mass","picky","herbivore","carnivore","picky_herb","picky_carn"
"1","Rodentia","Abrocomidae","Abrocoma","bennettii","Abrocoma bennettii","Abrocoma bennettii",265.5,4.219,250,NA,851.667,NA,244.685,NA,317.485,98.875,NA,3,2,115.543,NA,40.988,NA,1009.175,0.511,102.5,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"G",1,0,0,1,0,4000,0,4000,0,"Occurs on mainland",0,0,"Neotropical",2,"abrocoma_bennettii",-1.32614043830014,1,1,0,3,1
"2","Rodentia","Abrocomidae","Abrocoma","cinerea","Abrocoma cinerea","Abrocoma cinerea",221.82,3.239,201,NA,395.417,NA,251.621,NA,330.572,112.269,NA,1.995,1.923,119.793,12.755,39.992,NA,1053.426,0.463,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,"G",1,0,0,1,0,5000,3700,1300,0,"Occurs on mainland",1,0,"Neotropical",2,"abrocoma_cinerea",-1.50588903680554,1,1,0,3,1
"3","Rodentia","Cricetidae","Abrothrix","andinus","Abrothrix andinus","Abrothrix andinus",34.65,0.912,140,NA,914.808,NA,72.928,NA,102.141,23.79,NA,4.171,3.537,27.552,NA,23.08,NA,423.309,0.167,NA,0,1,NA,NA,30,0,70,30,0,0,0,0,0,0,0,0,70,2,2,"G",2,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",2,"abrothrix_andinus",-3.36245755334622,0,0,0,0,0
"4","Rodentia","Cricetidae","Abrothrix","jelskii","Abrothrix jelskii","Abrothrix jelskii",34.5,0.786,140,NA,934.248,NA,63.935,NA,95.981,23.524,NA,4.212,3.573,26.597,NA,21.436,NA,399.834,0.166,NA,0,1,NA,NA,30,0,70,30,0,0,0,0,0,0,0,0,70,2,2,"G",2,0,0,1,0,5000,2200,2800,0,"Occurs on mainland",1,0,"Neotropical",4,"abrothrix_jelskii",-3.36679595494482,0,0,0,0,0
"5","Chiroptera","Pteropodidae","Acerodon","celebensis","Acerodon celebensis","Acerodon celebensis",384.84,5.319,201.25,133.5,4947.861,NA,657.867,NA,801.61,157.206,NA,0.98,1.32,314.015,NA,145.912,NA,2390.332,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1500,0,1500,1,"Occurs only on isolated islands",1,0,"Australasian",2,"acerodon_celebensis",-0.954927615489073,1,1,0,3,1
"6","Chiroptera","Pteropodidae","Acerodon","jubatus","Acerodon jubatus","Acerodon jubatus",1087.04,9.649,288.202,188.04,7320.342,NA,699.123,NA,866.685,166.645,NA,1,1,369.707,NA,146.257,NA,3650,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,"Occurs only on isolated islands",0,0,"Indomalayan",1,"acerodon_jubatus",0.083458405990082,1,1,0,3,1
"7","Carnivora","Felidae","Acinonyx","jubatus","Acinonyx jubatus","Acinonyx jubatus",50577.92,115.012,1490.215,NA,7482.5,741.97,598.985,456,1217.27,90.12,12,3.04,0.7,541.879,465.33,107,1940,2190,44.448,0.021,0,1,88.27,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,"G",3,0,0,1,0,4000,0,4000,NA,"Occurs on mainland",NA,NA,"Afrotropical, Palearctic",4,"acinonyx_jubatus",3.92351511742274,1,0,1,1,3
"8","Rodentia","Muridae","Acomys","cahirinus","Acomys cahirinus","Acomys cahirinus",45.2,0.76,175,NA,2731.417,51.9,58,59,103,38,NA,2.47,3.5,33.977,5.49,14,12.58,650.013,0.193,1900,0,1,0.001,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,"G",2,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Afrotropical, Palearctic",3,"acomys_cahirinus",-3.09665819214395,0,0,0,0,0
"9","Rodentia","Muridae","Acomys","cilicicus","Acomys cilicicus","Acomys cilicicus",48,1.065,175,NA,1460,NA,78.485,NA,110.544,33.712,NA,2.632,3.297,42.005,NA,21.053,NA,618.22,0.2,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,"G",2,0,0,1,0,NA,NA,NA,NA,"Occurs on mainland",NA,NA,"Palearctic",2,"acomys_cilicicus",-3.03655426807425,0,0,0,0,0
"10","Rodentia","Muridae","Acomys","ignitus","Acomys ignitus","Acomys ignitus",45.2,1.905,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,697.053,1.425,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,"G",2,0,0,1,0,1000,NA,NA,NA,"Occurs on mainland",NA,NA,"Afrotropical",2,"acomys_ignitus",-3.09665819214395,0,0,0,0,0
