"","Binomial.1.2","log_mass_kg","diet"
"1","abeomelomys_sevia",-2.95651156040071,1
"2","abrawayaomys_ruschii",-2.7646205525906,1
"3","abrocoma_bennettii",-1.38629436111989,0
"4","abrocoma_cinerea",-1.38629436111989,0
"5","abrothrix_andinus",-4.01738352108597,1
"6","abrothrix_jelskii",-3.36679595494482,1
"7","abrothrix_lanosus",-3.42651518964645,1
"8","abrothrix_longipilis",-3.28075122858629,1
"9","abrothrix_olivaceus",-3.61191841297781,1
"10","acerodon_celebensis",-0.941608539858445,0
"11","acerodon_jubatus",0.0723206615796261,0
"12","acinonyx_jubatus",3.84374416467485,2
"13","acomys_cahirinus",-2.94694210938456,1
"14","acomys_cilicicus",-3.15825120305177,1
"15","acomys_dimidiatus",-3.28341434600577,1
"16","acomys_ignitus",-3.72970144863419,1
"17","acomys_johannis",-3.98998454689786,2
"18","acomys_minous",-2.77258872223978,1
"19","acomys_nesiotes",-2.94694210938456,1
"20","acomys_percivali",-3.81671282562382,1
"21","acomys_russatus",-2.99974029495153,1
"22","acomys_spinosissimus",-3.63061054598996,1
"23","acomys_wilsoni",-3.98998454689786,1
"24","aconaemys_fuscus",-2.01365380114183,0
"25","aconaemys_porteri",-2.3859667019331,0
"26","aconaemys_sagei",-2.3382122706372,0
"27","acrobates_pygmaeus",-4.42284862919414,1
"28","addax_nasomaculatus",4.24849952775446,0
"29","aegialomys_galapagoensis",-2.15848474902029,1
"30","aegialomys_xanthaeolus",-2.52823177452637,1
"31","aepeomys_lugens",-3.29683736633791,1
"32","aepyceros_melampus",3.96081507435767,0
"33","aepyprymnus_rufescens",1.17865499634165,0
"34","aeretes_melanopterus",-0.311428466181781,0
"35","aeromys_tephromelas",0.0723206615796261,1
"36","aethalops_aequalis",-4.45675018086982,0
"37","aethalops_alecto",-4.19970507787993,0
"38","aethomys_chrysophilus",-2.59160138845896,0
"39","aethomys_kaiseri",-2.40794560865187,0
"40","ailuropoda_melanoleuca",4.68582808900555,1
"41","ailurops_ursinus",2.30258509299405,0
"42","ailurus_fulgens",1.58923520511658,1
"43","akodon_aerosus",-2.81341071676004,1
"44","akodon_affinis",-3.69288747551148,1
"45","akodon_albiventer",-3.82584530918709,1
"46","akodon_azarae",-3.68887945411394,1
"47","akodon_boliviensis",-3.59356927430961,1
"48","akodon_budini",-3.61562899237434,1
"49","akodon_cursor",-3.22137895508632,1
"50","akodon_dayi",-3.42651518964645,1
"51","akodon_dolores",-2.98578194270082,1
"52","akodon_fumeus",-3.78539035449478,1
"53","akodon_iniscatus",-3.55085815621656,1
"54","akodon_juninensis",-3.24419363285249,1
"55","akodon_kofordi",-3.52336501563636,1
"56","akodon_lindberghi",-3.63439126882987,1
"57","akodon_lutescens",-3.87762157871081,1
"58","akodon_mimus",-3.72970144863419,1
"59","akodon_molinae",-3.41124771751566,1
"60","akodon_mollis",-3.49331267056996,1
"61","akodon_montensis",-3.12129549652934,1
"62","akodon_mystax",-3.98998454689786,1
"63","akodon_orophilus",-3.24419363285249,1
