"","Order.1.2","Binomial.1.2","log_mass_kg","diet"
"1","Rodentia","abeomelomys_sevia",-2.95651156040071,5
"2","Rodentia","abrawayaomys_ruschii",-2.7646205525906,5
"3","Rodentia","abrocoma_bennettii",-1.38629436111989,1
"4","Rodentia","abrocoma_cinerea",-1.38629436111989,1
"5","Rodentia","abrothrix_andinus",-4.01738352108597,5
"6","Rodentia","abrothrix_jelskii",-3.36679595494482,5
"7","Rodentia","abrothrix_lanosus",-3.42651518964645,5
"8","Rodentia","abrothrix_longipilis",-3.28075122858629,5
"9","Rodentia","abrothrix_olivaceus",-3.61191841297781,5
"10","Chiroptera","acerodon_celebensis",-0.941608539858445,1
"11","Chiroptera","acerodon_jubatus",0.0723206615796261,1
"12","Carnivora","acinonyx_jubatus",3.84374416467485,2
"13","Rodentia","acomys_cahirinus",-2.94694210938456,3
"14","Rodentia","acomys_cilicicus",-3.15825120305177,3
"15","Rodentia","acomys_dimidiatus",-3.28341434600577,5
"16","Rodentia","acomys_ignitus",-3.72970144863419,3
"17","Rodentia","acomys_johannis",-3.98998454689786,4
"18","Rodentia","acomys_minous",-2.77258872223978,3
"19","Rodentia","acomys_nesiotes",-2.94694210938456,3
"20","Rodentia","acomys_percivali",-3.81671282562382,3
"21","Rodentia","acomys_russatus",-2.99974029495153,7
"22","Rodentia","acomys_spinosissimus",-3.63061054598996,3
"23","Rodentia","acomys_wilsoni",-3.98998454689786,3
"24","Rodentia","aconaemys_fuscus",-2.01365380114183,1
"25","Rodentia","aconaemys_porteri",-2.3859667019331,1
"26","Rodentia","aconaemys_sagei",-2.3382122706372,1
"27","Diprotodontia","acrobates_pygmaeus",-4.42284862919414,5
"28","Cetartiodactyla","addax_nasomaculatus",4.24849952775446,1
"29","Rodentia","aegialomys_galapagoensis",-2.15848474902029,5
"30","Rodentia","aegialomys_xanthaeolus",-2.52823177452637,5
"31","Rodentia","aepeomys_lugens",-3.29683736633791,5
"32","Cetartiodactyla","aepyceros_melampus",3.96081507435767,1
"33","Diprotodontia","aepyprymnus_rufescens",1.17865499634165,1
"34","Rodentia","aeretes_melanopterus",-0.311428466181781,1
"35","Rodentia","aeromys_tephromelas",0.0723206615796261,5
"36","Chiroptera","aethalops_aequalis",-4.45675018086982,1
"37","Chiroptera","aethalops_alecto",-4.19970507787993,1
"38","Rodentia","aethomys_chrysophilus",-2.59160138845896,1
"39","Rodentia","aethomys_kaiseri",-2.40794560865187,1
"40","Carnivora","ailuropoda_melanoleuca",4.68582808900555,1
"41","Diprotodontia","ailurops_ursinus",2.30258509299405,1
"42","Carnivora","ailurus_fulgens",1.58923520511658,7
"43","Rodentia","akodon_aerosus",-2.81341071676004,5
"44","Rodentia","akodon_affinis",-3.69288747551148,5
"45","Rodentia","akodon_albiventer",-3.82584530918709,5
"46","Rodentia","akodon_azarae",-3.68887945411394,5
"47","Rodentia","akodon_boliviensis",-3.59356927430961,5
"48","Rodentia","akodon_budini",-3.61562899237434,5
"49","Rodentia","akodon_cursor",-3.22137895508632,5
"50","Rodentia","akodon_dayi",-3.42651518964645,5
"51","Rodentia","akodon_dolores",-2.98578194270082,5
"52","Rodentia","akodon_fumeus",-3.78539035449478,5
"53","Rodentia","akodon_iniscatus",-3.55085815621656,5
"54","Rodentia","akodon_juninensis",-3.24419363285249,5
"55","Rodentia","akodon_kofordi",-3.52336501563636,5
"56","Rodentia","akodon_lindberghi",-3.63439126882987,5
"57","Rodentia","akodon_lutescens",-3.87762157871081,5
"58","Rodentia","akodon_mimus",-3.72970144863419,5
"59","Rodentia","akodon_molinae",-3.41124771751566,5
"60","Rodentia","akodon_mollis",-3.49331267056996,5
"61","Rodentia","akodon_montensis",-3.12129549652934,5
"62","Rodentia","akodon_mystax",-3.98998454689786,5
"63","Rodentia","akodon_orophilus",-3.24419363285249,5
"64","Rodentia","akodon_paranaensis",-3.2114038100295,5
"65","Rodentia","akodon_philipmyersi",-3.9792317551216,5
"66","Rodentia","akodon_reigi",-3.18689277901515,5
"67","Rodentia","akodon_serrensis",-3.56489347433295,5
"68","Rodentia","akodon_siberiae",-3.36390159691846,5
"69","Rodentia","akodon_simulator",-3.15825120305177,5
"70","Rodentia","akodon_spegazzinii",-3.55434856115633,5
"71","Rodentia","akodon_subfuscus",-3.49331267056996,5
"72","Rodentia","akodon_sylvanus",-3.24419363285249,5
"73","Rodentia","akodon_toba",-2.97201574693668,5
"74","Rodentia","akodon_torques",-3.24419363285249,5
"75","Rodentia","akodon_varius",-3.2188758248682,5
"76","Cetartiodactyla","alcelaphus_buselaphus",5.14167232839401,1
"77","Cetartiodactyla","alces_alces",5.87773017952305,1
"78","Chiroptera","alionycteris_paucidentata",-4.1227440367438,1
"79","Rodentia","allactaga_balikunica",-2.62416871712151,5
"80","Rodentia","allactaga_bullata",-2.44184716032755,5
"81","Rodentia","allactaga_elater",-2.83021783507642,5
"82","Rodentia","allactaga_euphratica",-2.65926003693278,5
"83","Rodentia","allactaga_firouzi",-2.31668401737355,5
"84","Rodentia","allactaga_hotsoni",-2.57046453814965,5
"85","Rodentia","allactaga_major",-1.04982212449868,5
"86","Rodentia","allactaga_sibirica",-2.32790290097834,5
"87","Rodentia","allactaga_williamsi",-2.30258509299405,1
"88","Rodentia","allactodipus_bobrinskii",-2.65926003693278,5
"89","Primates","allenopithecus_nigroviridis",1.55814461804655,5
"90","Primates","allocebus_trichotis",-2.55747734262284,1
"91","Rodentia","allocricetulus_eversmanni",-2.15761932274386,5
"92","Primates","alouatta_belzebul",1.85629799036563,1
"93","Primates","alouatta_caraya",1.7685761337724,1
"94","Primates","alouatta_guariba",1.72083616422416,1
"95","Primates","alouatta_macconnelli",2.02218312283955,1
"96","Primates","alouatta_palliata",1.98444381305756,1
"97","Primates","alouatta_pigra",1.94591014905531,1
"98","Primates","alouatta_sara",1.88873492835144,1
"99","Primates","alouatta_seniculus",1.8157201066729,1
"100","Rodentia","alticola_albicaudus",-3.47376807449699,1
"101","Rodentia","alticola_argentatus",-3.27809518452817,1
"102","Rodentia","alticola_barakshin",-3.35240721749272,1
"103","Rodentia","alticola_lemminus",-4.16691525505694,1
"104","Rodentia","alticola_macrotis",-3.32423634052603,1
"105","Rodentia","alticola_montosa",-3.92713664323819,1
"106","Rodentia","alticola_olchonensis",-3.40520540305969,1
"107","Rodentia","alticola_semicanus",-2.93369688263454,1
"108","Rodentia","alticola_strelzowi",-2.99573227355399,1
"109","Rodentia","alticola_tuvinicus",-3.40520540305969,1
"110","Afrosoricida","amblysomus_corriae",-2.95459033022282,4
"111","Afrosoricida","amblysomus_hottentotus",-2.94503915923847,4
"112","Afrosoricida","amblysomus_marleyi",-3.32423634052603,4
"113","Afrosoricida","amblysomus_robustus",-2.97789235542566,4
"114","Afrosoricida","amblysomus_septentrionalis",-2.75043591759865,4
"115","Chiroptera","ametrida_centurio",-4.57561138374655,1
"116","Rodentia","ammospermophilus_harrisii",-2.10373423424888,7
"117","Rodentia","ammospermophilus_interpres",-2.20455135272268,7
"118","Rodentia","ammospermophilus_leucurus",-2.11610552605143,7
"119","Cetartiodactyla","ammotragus_lervia",3.87120101090789,1
"120","Rodentia","amphinectomys_savamis",-1.52647639171975,7
"121","Scandentia","anathana_ellioti",-1.83258146374831,5
"122","Rodentia","andalgalomys_pearsoni",-3.67300610495765,5
"123","Rodentia","andinomys_edax",-2.66355496121566,1
"124","Rodentia","anisomys_imitator",-0.672364641377417,1
"125","Chiroptera","anoura_caudifer",-4.59521985513492,5
