collection,genus_species,catnum,sex,order,family,skull,coracoid,keel,humerus,ulna,carpomet,femur,tibiotar,tarsomet
Smith,Accipiter_striatus,499644,F,Accipitriformes,Accipitridae,45.719819,30.351649,46.714456,52.014123,62.444851,33.889492,48.013608,64.11606,54.991641
Smith,Accipiter_striatus,553372,M,Accipitriformes,Accipitridae,37.190461,23.667651,33.523785,40.910092,48.658918,25.201361,37.408374,345.249648,48.304283
Smith,Accipiter_striatus,554770,F,Accipitriformes,Accipitridae,46.29802,30.939252,48.788267,55.454803,64.661326,34.484563,49.614515,66.676905,55.77461
Smith,Accipiter_striatus,556936,M,Accipitriformes,Accipitridae,38.700906,25.721307,40.633605,44.603425,54.692041,27.525239,40.598671,53.742462,50.346846
Smith,Accipiter_striatus,610735,M,Accipitriformes,Accipitridae,42.201945,25.499769,39.570331,45.166776,53.181715,27.880228,40.101376,53.381933,50.030413
Smith,Accipiter_striatus,610736,F,Accipitriformes,Accipitridae,43.789468,30.264157,44.574871,51.672125,61.127729,32.769272,45.938245,63.154232,54.86743
Smith,Accipiter_striatus,610755,M,Accipitriformes,Accipitridae,39.653919,25.021828,40.460592,45.23455,,29.052289,41.034991,55.639225,47.491782
Smith,Accipiter_striatus,637767,F,Accipitriformes,Accipitridae,40.303529,25.852141,39.428973,45.490435,53.139923,27.887361,41.095151,55.19995,49.643714
Smith,Acryllium_vulturinum,289654,M,Galliformes,Numididae,69.510432,59.212374,98.614934,88.578423,87.06623,46.526633,87.528697,143.391478,
Smith,Acryllium_vulturinum,290150,M,Galliformes,Numididae,72.47823,61.142193,97.062774,96.02192,94.578624,51.349102,90.776561,156.249796,107.144536
Smith,Acryllium_vulturinum,346192,F,Galliformes,Numididae,7.080007,59.892942,51.617624,96.050502,84.794275,85.31252,36.825115,78.81462,128.69769
Smith,Acryllium_vulturinum,636738,M,Galliformes,Numididae,6.900877,71.235326,59.965945,109.002873,89.553838,89.591816,40.417957,89.790936,145.21521
Smith,Actitis_hypoleucos,347395,F,Charadriiformes,Scolopacidae,41.314153,15.712763,37.883489,35.275918,39.423449,21.343473,23.008456,43.744071,30.998183
Smith,Actitis_hypoleucos,557031,M,Charadriiformes,Scolopacidae,47.553826,15.44347,32.456236,27.135587,28.422248,16.560754,21.868451,38.850769,24.04317
Smith,Actitis_hypoleucos,557033,F,Charadriiformes,Scolopacidae,273.5473899,,157.6162924,162.0856831,174.7023613,97.20490582,139.3410541,235.8227402,135.7818161
Smith,Actitis_hypoleucos,603467,M,Charadriiformes,Scolopacidae,44.817884,14.539352,25.823784,26.556047,28.623158,15.926009,22.829577,38.637094,22.246433
Smith,Actitis_hypoleucos,613021,F,Charadriiformes,Scolopacidae,14.89987,32.613429,27.888436,29.616044,17.546297,23.561233,39.923785,25.255728,154.7527707
Smith,Actitis_hypoleucos,641323,F,Charadriiformes,Scolopacidae,12.38929,34.008394,29.803367,30.886149,18.542451,24.012976,41.550137,24.535041,147.654811
Smith,Actitis_hypoleucos,641779,M,Charadriiformes,Scolopacidae,14.987316,30.702936,27.389696,29.713728,16.970278,21.744908,39.051375,23.736998,143.3326693
UM,Actitis_macularius,204966,M,Charadriiformes,Scolopacidae,48.958767,,30.55376,27.83269,30.143038,18.009498,23.167566,38.718884,26.083282
UM,Actitis_macularius,204971,M,Charadriiformes,Scolopacidae,48.880437,,30.651756,28.628,31.13297,17.771885,23.514282,41.196366,25.50164
UM,Actophilornis_africanus,156036,M,Charadriiformes,Jacanidae,62.309854,,39.507774,46.074192,51.495285,30.529555,36.101203,99.293317,69.440183
