Species,r (µm),2d (µm),(r + d)/r,N,P1_P8,r (µm),2d (µm),(r + d)/r,N
Accipiter gentilis,13.5,432,17,2,p1,,,,
Accipiter nisus,21.5,325,8.6,2,p1,,,,
Acrocephalus arundinaceus,15,278,10.3,2,p1,,,,
Acrocephalus palustris,13.5,244,10,2,p1,,,,
Acrocephalus schoenobaenus,15,231,8.7,2,p1,,,,
Acrocephalus scirpaceus,16,230,8.2,2,p1,,,,
Aegithalos caudatus,12,225,10.4,2,p1,,,,
Alauda arvensis,19,240,7.3,1,p1,,,,
Alcedo atthis,15,190,7.3,2,p1,,,,
Anas crecca,26,174.9,4.4,2,p1,,,,
Anas platyrhynchos,31.5,239,4.8,2,p1,,,,
Anas querquedula,18,208,6.8,1,p1,,,,
Anser albifrons,25.5,327,7.4,2,p1,,,,
Anthus campestris,16,272,9.5,1,p1,,,,
Anthus spinoletta,18,244,7.8,2,p1,,,,
Anthus trivialis,15.7,236,8.5,3,p1,,,,
Aquila chrysaetos,,,,,p1,,,,
Ardea cinerea,20,384,10.6,1,p1,,,,
Asio flammeus,47,225,3.4,2,p1,,,,
Asio otus,33,245,4.7,2,p1,,,,
Athene noctua,28.5,253,5.4,2,p1,,,,
Aythya ferina,24,193,5,2,p1,,,,
Aythya fuligula,28.5,165,3.9,2,p1,,,,
Bombycilla garrulus,19,227.3,7,3,p1,,,,
Botaurus stellaris,17,320,10.4,1,p1,,,,
Branta ruficollis,20,344,9.6,1,p1,,,,
Bubo bubo,85,234,2.4,1,p1,,,,
Buteo buteo,29.5,435,8.4,4,p1,,,,
Buteo lagopus,19.5,462,12.8,2,p1,,,,
Carduelis cannabina,17,221,7.5,2,p1,,,,
Carduelis carduelis,13,213,9.2,2,p1,,,,
Carduelis chloris,17,251,8.4,2,p1,,,,
Carduelis spinus,13.3,221.5,9.4,4,p1,,,,
Carpodacus erythrinus,19,206,6.4,2,p1,,,,
Cecropis daurica,10,236,12.8,2,p1,,,,
Certhia familiaris,19,232,7.1,1,p1,,,,
Chroicocephalus ridibundus,15,312,11.4,1,p1,,,,
Cinclus cinclus,20.5,244,7,2,p1,,,,
Circaetus gallicus,20,516,13.9,1,p1,,,,
Circus cyaneus,,,,,p1,,,,
Coccothraustes coccothraustes,15,273,10.1,2,p1,,,,
Columba livia,19.5,291,8.5,2,p1,,,,
Coracias garrulus,20.5,288,8,2,p1,,,,
Corvus frugilegus,10.5,390,19.6,2,p1,,,,
Corvus monedula,15,347,12.6,2,p1,,,,
Crex crex,18.5,256,7.9,2,p1,,,,
Cuculus canorus,24,300,7.2,2,p1,,,,
Cyanistes caeruleus,16.5,241,8.3,2,p1,,,,
Delichon urbicum,15.5,203,7.5,2,p1,,,,
Dendrocopos major,19,291,8.7,2,p1,,,,
Dendrocopos syriacus,17,288,9.5,2,p1,,,,
Dryocopus martius,23,366,9,1,p1,,,,
Egretta alba,29,334,6.8,1,p1,,,,
Emberiza citrinella,17.5,238,7.8,2,p1,,,,
Emberiza schoeniclus,20,235,6.9,2,p1,,,,
Erithacus rubecula,13,245,10.4,2,p1,,,,
Falco peregrinus,25,304,7.1,2,p1,,,,
Falco subbuteo,16,278,9.7,1,p1,,,,
Falco tinnunculus,11.7,328.7,15.1,3,p1,,,,
Falco vespertinus,,,,,p1,,,,
Ficedula albicollis,15,259,9.6,2,p1,,,,
Ficedula hypoleuca,15.5,256,9.3,2,p1,,,,
Fringilla coelebs,15.7,245.3,8.8,3,p1,,,,
Fringilla montifringilla,18,214,6.9,2,p1,,,,
Fulica atra,15.5,246,8.9,2,p1,,,,
Gallinago gallinago,16,286,9.9,1,p1,,,,
Gallinula chloropus,17,306,10,2,p1,,,,
Garrulus glandarius,21.3,329.5,8.8,4,p1,,,,
Gavia arctica,18,284,8.9,1,p1,,,,
Hippolais icterina,20.5,232,6.7,2,p1,,,,
Hirundo rustica,20.5,223,6.4,2,p1,,,,
Ixobrychus minutus,20,263,7.6,2,p1,,,,
Jynx torquilla,18,270,8.5,2,p1,,,,
Lanius collurio,17.5,265,8.6,2,p1,,,,
Lanius minor,18,282,8.8,2,p1,,,,
Locustella luscinioides,19.5,233,7,2,p1,,,,
Luscinia luscinia,20.5,298,8.3,2,p1,,,,
Luscinia megarhynchos,19,288,8.6,2,p1,,,,
Merops apiaster,18,309,9.6,2,p1,,,,
Motacilla alba,21,212,6,2,p1,,,,
Motacilla cinerea,16,233,8.3,2,p1,,,,
Motacilla flava,16,192,7,1,p1,,,,
Muscicapa striata,15.5,262,9.5,2,p1,,,,
Netta rufina,,,,,p1,,,,
Otus scops,33,158,3.4,1,p1,,,,
Panurus biarmicus,21,220,6.2,2,p1,,,,
Parus major,14,255,10.1,2,p1,,,,
Passer domesticus,19.5,228,6.8,2,p1,,,,
Passer hispaniolensis,20.5,201,5.9,2,p1,,,,
Passer montanus,18,235,7.5,2,p1,,,,
Perdix perdix,27.3,247.3,5.5,3,p1,,,,
Periparus ater,15,251,9.4,2,p1,,,,
Phalacrocorax carbo,37,325,5.4,2,p1,,,,
Phalacrocorax pygmeus,24.5,271,6.5,2,p1,,,,
Phasianus colchicus,30.7,291.3,5.8,3,p1,,,,
Phoenicurus ochruros,18.5,269,8.3,2,p1,,,,
Phoenicurus phoenicurus,12,286,12.9,1,p1,,,,
Phylloscopus collybita,16,230,8.2,2,p1,,,,
Phylloscopus sibilatrix,16,228,8.1,2,p1,,,,
Pica pica,25,306,7.1,2,p1,,,,
Picus viridis,22,314,8.1,1,p1,,,,
Podiceps cristatus,,,,,p1,,,,
Poecile montanus,,,,,p1,,,,
Poecile palustris,17,254,8.5,2,p1,,,,
Porzana parva,14,247,9.8,2,p1,,,,
Prunella modularis,12.5,247,10.9,2,p1,,,,
Pyrhulla pyrhulla,16.5,265,9,2,p1,,,,
Rallus aquaticus,18.5,274,8.4,2,p1,,,,
Regulus ignicapillus,10,234,12.7,1,p1,,,,
Regulus regulus,10,220,12,1,p1,,,,
Remiz pendulinus,16,272,9.5,1,p1,,,,
Riparia riparia,18,196,6.4,2,p1,,,,
Saxicola rubetra,15.5,198,7.4,2,p1,,,,
Saxicola rubicola,16,222,7.9,2,p1,,,,
Scolopax rusticola,18,336,10.3,1,p1,,,,
Sitta europaea,16.3,251,8.7,4,p1,,,,
Sterna hirundo,21,263,7.3,2,p1,,,,
Streptopelia decaocto,21.5,279,7.5,2,p1,,,,
Strix aluco,34,298,5.4,1,p1,,,,
Strix uralensis,59,286,3.4,2,p1,,,,
Sturnus vulgaris,16.5,275,9.3,2,p1,,,,
Sylvia atricapilla,15,213.3,8.1,3,p1,,,,
Sylvia borin,17.5,221,7.3,2,p1,,,,
Sylvia communis,16,210.4,7.6,2,p1,,,,
Sylvia curruca,14.5,214,8.4,2,p1,,,,
Sylvia nisoria,17,248,8.3,1,p1,,,,
Tachymarptis melba,,,,,p1,,,,
Tetrastes bonasia,26,298,6.7,1,p1,,,,
Tringa glareola,20,234,6.8,1,p1,,,,
Troglodytes troglodytes,11,190.7,9.7,3,p1,,,,
Turdus merula,16.5,269,9.2,2,p1,,,,
Turdus philomelos,20.5,231,6.6,2,p1,,,,
Turdus pilaris,15,269,10,2,p1,,,,
Turdus viscivorus,16,286,9.9,1,p1,,,,
Tyto alba,27.5,250,5.5,2,p1,,,,
Upupa epops,24,340,8.1,2,p1,,,,
Accipiter gentilis,,,,,p8,,,,
