Species,Body mass (g),Habitat,Diving behaviour,Migration distance (km)*,Food,Moult,Flight type,Wing area (cm2),Aspect ratio,Nwing
Accipiter gentilis,934.8,T,,0.6,1,NT,2a,0.1723,5.4,8
Accipiter nisus,237.5,T,,1847.2,1,NT,2a,0.0819,5.4,10
Acrocephalus arundinaceus,30,R,,6052.5,1,TT,3,0.0144,4.6,6
Acrocephalus palustris,11.5,R,,7819.5,1,TT,3,0.0067,4.7,5
Acrocephalus schoenobaenus,11.2,R,,6388.2,1,TT,3,0.007,4.4,5
Acrocephalus scirpaceus,12.3,R,,4764.1,1,TT,3,0.0069,4.3,6
Aegithalos caudatus,8.6,T,,19.8,1,NT,3,0.0062,3.9,8
Alauda arvensis,40,T,,1189,2,NT,3,0.0217,5,1
Alcedo atthis,35.8,A,D,1071.3,1,NT,3,0.0109,5.3,8
Anas crecca,305.5,A,ND,3527.4,2,NT,1,0.0416,6.4,5
Anas platyrhynchos,1141,A,ND,1678.2,2,NT,1,0.0931,6.2,4
Anas querquedula,326,A,ND,5147.1,2,NT,1,0.0475,5.8,1
Anser albifrons,2211.5,A,ND,4396,2,NT,1,0.1847,7.6,2
Anthus campestris,23,T,,3347,2,NT,3,0.0154,4.8,3
Anthus spinoletta,23.9,T,,567.9,2,NT,3,0.0141,4.6,2
Anthus trivialis,23.4,T,,6089.9,2,NT,3,0.0127,4.7,4
Aquila chrysaetos,4262,T,,95.6,1,CM,2a,0.6054,5.5,2
Ardea cinerea,1443,A,ND,1475.4,1,NT,2c,0.3674,6.4,2
Asio flammeus,325,T,,1709.4,1,NT,2c,0.1382,6.3,4
Asio otus,299,T,,421,1,NT,2c,0.1192,5.7,18
Athene noctua,164,T,,0,1,NT,1,0.0531,4.8,6
Aythya ferina,823,A,ND,2936.8,2,NT,1,0.0558,7.2,4
Aythya fuligula,701.5,A,ND,3161,2,NT,1,0.0505,7.3,3
Bombycilla garrulus,54.5,T,,1238.7,2,NT,3,0.0163,5.5,4
Botaurus stellaris,1324.5,A,ND,3834.8,1,NT,2c,0.2223,5.9,1
Branta ruficollis,1234.5,A,ND,4586,2,NT,1,0.1012,8.3,1
Bubo bubo,2686,T,,0,1,CM,1,0.3502,4.3,2
Buteo buteo,776,T,,1122,1,NT,2a,0.2264,5.6,12
Buteo lagopus,956,T,,1239.9,1,CM,2a,0.2544,6,2
Carduelis cannabina,19.6,T,,788,2,NT,3,0.0102,5,4
Carduelis carduelis,16,T,,807.7,2,NT,3,0.0092,4.7,8
Carduelis chloris,26,T,,310.2,2,NT,3,0.0113,4.8,7
