Species,Flapper,Migrant,meanHUratio
Accipiter_striatus,0,1,0.8351938042417598
Pandion_haliaetus,0,1,0.7827342994354818
Rostrhamus_sociabilis,0,1,0.8230789455583729
Aegithalos_concinnus,1,0,0.8166012630136799
Aegotheles_cristatus,1,0,0.8480789410067423
Galerida_cristata,1,0,0.7977812774834236
Alcedo_atthis,1,1,0.7861350528656609
Cepphus_grylle,1,1,1.1647012780009285
Fratercula_corniculata,1,1,1.217921661849023
Uria_lomvia,1,1,1.2555822994125716
Anas_acuta,1,1,1.1464195360382636
Branta_canadensis,1,1,1.0907267909128175
Anhinga_anhinga,0,0,1.120223604703004
Anseranas_semipalmata,1,1,1.0253316928846221
Chaetura_pelagica,1,1,0.7858597454755154
Collocalia_spodiopygia,1,0,0.5948550574536898
Aramus_guarauna,1,0,0.943481687946638
Bubulcus_ibis,1,1,0.8662221667842974
Bombycilla_garrulus,1,1,0.8035746829648217
Phainopepla_nitens,1,1,0.7772314110357952
Burhinus_oedicnemus,1,1,0.910440784639765
Caprimulgus_europaeus,1,1,0.7928589541502463
Chordeiles_minor,1,1,0.6606645704020582
Habia_rubica,1,0,0.8497750629374866
Pheucticus_chrysogaster,1,0,0.8037350979352289
Piranga_rubra,1,1,0.7922758968586938
Cariama_cristata,1,0,1.089516819832247
Cathartes_aura,0,1,0.8468549221653042
Charadrius_wilsonia,1,1,0.9083299921908521
Pluvialis_dominica,1,1,0.9311082858161605
Pluvialis_fulva,1,1,0.9254907086315367
Vanellus_vanellus,1,1,0.8527286287287333
Chionis_albus,1,1,0.9537177729604321
Ciconia_ciconia,0,1,0.8660449309049653
Cisticola_fulvicapilla,1,0,0.9363955558872576
Colius_striatus,1,0,1.113948368276006
Oreoica_gutturalis,1,0,0.8964713937106242
Chalcophaps_indica,1,0,0.797220335221527
Columbina_passerina,1,0,0.8405085278412134
Geotrygon_montana,1,0,0.805348488559064
Conopophaga_lineata,1,0,0.8772911397905832
Coracias_garrulus,1,1,0.8313283508883103
Corvus_brachyrhynchos,1,1,0.825021518694302
Cyanocorax_morio,1,0,0.8469995290860483
Pica_pica,1,0,0.8443955008209149
Rupicola_rupicola,1,0,0.7488941707518975
Lepidocolaptes_affinis,1,0,0.7991911524064068
Phoebastria_immutabilis,0,0,1.0107146239227858
Dulus_dominicus,1,0,0.8213606620390042
Calcarius_lapponicus,1,1,0.8273998790757643
Melospiza_melodia,1,1,0.9251610632448922
Passerina_cyanea,1,1,0.8274976804571403
Sporophila_americana,1,0,0.839988808624517
Amandava_amandava,1,0,0.9127601543816398
Eurypyga_helias,1,0,0.9446582952928051
Falco_sparverius,0,1,0.8937427121125763
Formicarius_analis,1,0,0.8320453310262572
Fregata_ariel,0,0,0.7689037949054519
Carpodacus_mexicanus,1,0,0.7929618922134088
Fringilla_coelebs,1,1,0.8118955129012451
Loxia_curvirostra,1,1,0.6482960756291832
Asthenes_baeri,1,0,0.915751867150542
Xenops_minutus,1,0,0.8102449045975648
Galbula_ruficauda,1,0,0.7765052634833163
Gavia_immer,1,1,1.6786080675734276
Cursorius_cursor,1,1,0.8992450640294328
Haematopus_ostralegus,1,1,0.9554695424689339
Hemiprocne_mystacea,1,0,0.8728439566785863
Delichon_urbicum,1,1,0.6805915738868878
Oceanites_oceanicus,1,1,1.0613837037104998
Agelaius_assimilis,1,0,0.8335365059412587
Irena_puella,1,0,0.8308545751060512
Jacana_spinosa,1,0,0.8730440437696779
Lanius_nubicus,1,1,0.8125592284363345
Anous_stolidus,1,1,0.8565121990201615
Larus_glaucescens,1,1,0.8884467992520715
Larus_hyperboreus,1,1,0.9214612772331869
Rynchops_niger,1,0,0.8357605329730178
Sterna_antillarum,1,1,0.8786010726553691
Sterna_hirundo,1,1,0.8577813527269514
Sterna_maxima,1,1,0.8095759565526512
Menura_novaehollandiae,1,0,0.9370905547201558
Merops_apiaster,1,1,0.794831430875669
Momotus_momota,1,0,0.8262964105620882
Hypothymis_azurea,1,0,0.8108912121271892
Ficedula_parva,1,1,0.7376566883446618
Muscicapa_striata,1,1,0.727413862221092
Nyctibius_griseus,1,1,0.981394090771251
