
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_1/continuous_sd.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_1/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1711.96   |       -1716.58   |        4.61974   |      0.0261528      |  0.00351368   |   00:00:00   |   --:--:--   |
1000        |       -1672.92   |       -1677.57   |        4.64863   |      0.0315982      |  0.00759397   |   00:11:49   |   --:--:--   |
2000        |       -1647.73   |        -1652.4   |         4.6676   |      0.0151876      |  0.00281398   |   00:23:34   |   09:25:36   |
3000        |       -1608.16   |       -1612.82   |        4.66315   |      0.0287045      |  0.00585579   |   00:35:17   |   09:12:46   |
4000        |        -1575.8   |       -1580.48   |        4.67935   |      0.0146255      |   0.0058994   |   00:47:06   |   09:01:39   |
5000        |       -1627.88   |       -1632.56   |        4.67087   |      0.0243792      |  0.00180974   |   00:58:48   |   08:49:12   |
6000        |       -1628.21   |       -1632.89   |         4.6769   |      0.0240604      |  0.00213828   |   01:10:42   |   08:38:28   |
7000        |       -1652.39   |          -1657   |        4.61554   |      0.0203758      |  0.00531654   |   01:22:27   |   08:26:28   |
8000        |       -1637.23   |        -1641.9   |        4.67118   |      0.0222871      |  0.00622816   |   01:34:15   |   08:14:48   |
9000        |       -1695.28   |       -1699.69   |        4.41356   |      0.0309241      |  0.00478029   |   01:46:02   |   08:03:02   |
10000       |       -1671.07   |       -1675.48   |        4.40603   |      0.0310502      |  0.00628299   |   01:57:50   |   07:51:20   |
11000       |       -1690.43   |       -1694.67   |         4.2389   |      0.0189027      |  0.00685422   |   02:09:46   |   07:40:04   |
12000       |       -1732.92   |       -1737.32   |        4.40201   |      0.0210376      |  0.00254286   |   02:21:29   |   07:28:01   |
13000       |       -1634.62   |        -1639.3   |        4.68015   |      0.0212474      |  0.00740521   |   02:33:17   |   07:16:16   |
14000       |       -1674.33   |       -1678.91   |        4.58496   |      0.0245016      |  0.00333002   |   02:45:02   |   07:04:22   |
15000       |       -1640.57   |       -1645.23   |        4.66421   |      0.0208503      |  0.00313645   |   02:56:50   |   06:52:36   |
16000       |       -1653.68   |       -1658.36   |        4.67874   |      0.0208793      |  0.00206654   |   03:08:33   |   06:40:40   |
17000       |       -1638.14   |       -1642.82   |        4.67452   |      0.0209548      |  0.00153156   |   03:20:20   |   06:28:52   |
18000       |       -1649.32   |       -1653.96   |        4.63915   |      0.0253634      |  0.00941113   |   03:32:11   |   06:17:12   |
19000       |       -1614.52   |       -1619.19   |         4.6646   |      0.0225704      |  0.00321541   |   03:43:58   |   06:05:25   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1675.51   |       -1680.01   |        4.49951   |      0.0222794      |  0.00276819   |   03:55:54   |   05:53:51   |
21000       |       -1722.92   |       -1727.15   |        4.23283   |      0.0253536      |  0.00228594   |   04:07:38   |   05:41:58   |
22000       |       -1745.46   |       -1749.59   |        4.13362   |      0.0276288      |  0.00513415   |   04:19:26   |   05:30:11   |
23000       |       -1706.42   |       -1711.08   |        4.65972   |      0.0199496      |  0.00297801   |   04:31:14   |   05:18:24   |
24000       |       -1648.66   |       -1653.33   |        4.67205   |      0.0224582      |   0.0124603   |   04:43:00   |   05:06:35   |
25000       |       -1629.99   |       -1634.67   |        4.68216   |      0.0257579      |  0.00495496   |   04:54:46   |   04:54:46   |
26000       |       -1671.35   |       -1676.03   |        4.68091   |      0.0191891      |  0.00215886   |   05:06:27   |   04:42:52   |
27000       |        -1653.7   |        -1658.3   |        4.59521   |      0.0322616      |  0.00623661   |   05:18:13   |   04:31:04   |
28000       |       -1667.51   |       -1672.16   |        4.65469   |      0.0214364      |  0.00272811   |   05:30:03   |   04:19:19   |
29000       |       -1685.32   |       -1689.77   |        4.44855   |      0.0213187      |  0.00223343   |   05:41:55   |   04:07:35   |
30000       |       -1610.49   |       -1615.17   |        4.67733   |       0.015512      |  0.00427129   |   05:53:45   |   03:55:50   |
31000       |       -1692.03   |        -1696.5   |        4.46915   |      0.0247544      |  0.00263085   |   06:05:03   |   03:43:44   |
32000       |       -1665.01   |       -1669.56   |        4.54932   |      0.0222812      |  0.00502008   |   06:16:20   |   03:31:41   |
33000       |       -1630.43   |       -1635.07   |        4.63538   |      0.0176673      |   0.0041708   |   06:27:38   |   03:19:41   |
34000       |       -1697.83   |        -1702.4   |         4.5686   |      0.0245719      |  0.00231474   |   06:38:55   |   03:07:43   |
35000       |       -1691.35   |        -1695.9   |        4.54527   |      0.0305931      |  0.00265478   |   06:50:02   |   02:55:43   |
36000       |       -1736.69   |       -1741.16   |        4.46775   |       0.023756      |  0.00955307   |   07:01:07   |   02:43:46   |
37000       |       -1607.27   |       -1611.96   |         4.6825   |      0.0316882      |  0.00279703   |   07:12:06   |   02:31:49   |
38000       |       -1701.21   |       -1705.85   |        4.64185   |      0.0213347      |  0.00490386   |   07:23:04   |   02:19:54   |
39000       |       -1602.96   |       -1607.64   |        4.67669   |      0.0246499      |  0.00644739   |   07:34:02   |   02:08:03   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
40000       |       -1680.07   |       -1684.67   |        4.60069   |      0.0186325      |  0.00494657   |   07:45:00   |   01:56:15   |
41000       |        -1731.8   |       -1736.12   |        4.31683   |      0.0291161      |  0.00321713   |   07:55:58   |   01:44:28   |
42000       |       -1678.18   |        -1682.7   |         4.5201   |      0.0330645      |  0.00238249   |   08:06:57   |   01:32:45   |
43000       |       -1637.44   |        -1642.1   |        4.66005   |      0.0262938      |  0.00571963   |   08:17:56   |   01:21:03   |
44000       |       -1683.77   |       -1688.28   |        4.51427   |      0.0243767      |  0.00442284   |   08:28:54   |   01:09:23   |
