
RevBayes version (1.2.3)
Build from read_simmap (rapture-2810-g799e73) on Mon Sep  2 12:46:43 CEST 2024
MPI enabled: using 2 processes.

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


>    Processing file "scripts/2_simulation/false_positive/DPP.Rev"
   Attempting to read the contents of file "mammal_diet_perMY_n500.tre"
   Successfully read file
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_1/continuous_stateless.nex'
   Successfully read one character matrix from file 'data/2_simulation/false_positive/sim_1/discrete.nex'
   
   Running burn-in phase of Monte Carlo sampler for 5000 iterations.
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Progress:
0---------------25---------------50---------------75--------------100
********************************************************************

   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 7 different moves in a random move schedule with 405 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
0           |       -1866.51   |       -1871.11   |        4.60266   |      0.0055904      |  0.00939231   |   00:00:00   |   --:--:--   |
1000        |       -1821.07   |       -1825.72   |        4.65199   |      0.0071719      |   0.0101208   |   00:11:40   |   --:--:--   |
2000        |        -1950.7   |       -1955.11   |        4.41051   |     0.00922842      |   0.0140728   |   00:23:26   |   09:22:24   |
3000        |       -1848.68   |       -1853.24   |        4.56125   |      0.0105212      |   0.0140514   |   00:35:09   |   09:10:41   |
4000        |       -1834.48   |       -1839.09   |        4.61467   |     0.00870694      |   0.0123373   |   00:46:47   |   08:58:00   |
5000        |       -1837.17   |       -1841.85   |        4.67317   |     0.00840166      |   0.0135362   |   00:58:34   |   08:47:06   |
6000        |        -1820.2   |       -1824.86   |        4.65521   |      0.0112203      |  0.00985046   |   01:10:22   |   08:36:01   |
7000        |       -1807.93   |       -1812.61   |        4.68005   |     0.00688268      |   0.0101799   |   01:22:07   |   08:24:25   |
8000        |       -1814.44   |       -1819.04   |        4.59748   |      0.0118328      |  0.00993188   |   01:33:46   |   08:12:16   |
9000        |       -1793.62   |        -1798.3   |        4.68091   |     0.00638792      |  0.00993495   |   01:45:29   |   08:00:32   |
10000       |          -1831   |       -1835.68   |         4.6802   |     0.00639512      |    0.015092   |   01:57:09   |   07:48:36   |
11000       |       -1840.51   |       -1845.19   |         4.6796   |     0.00899045      |   0.0104114   |   02:08:49   |   07:36:42   |
12000       |       -1887.68   |        -1892.3   |        4.61224   |       0.007737      |   0.0104577   |   02:20:27   |   07:24:45   |
13000       |       -1856.71   |       -1861.37   |        4.66288   |      0.0108943      |   0.0143452   |   02:32:17   |   07:13:25   |
14000       |       -1800.02   |       -1804.49   |        4.46342   |      0.0111477      |   0.0128633   |   02:44:01   |   07:01:45   |
15000       |       -1868.88   |       -1873.55   |        4.67436   |     0.00946096      |   0.0128362   |   02:55:52   |   06:50:21   |
16000       |       -1843.59   |       -1848.24   |        4.64146   |      0.0104201      |   0.0122695   |   03:07:42   |   06:38:51   |
17000       |       -1770.11   |       -1774.63   |        4.51753   |      0.0116968      |   0.0167195   |   03:19:33   |   06:27:21   |
18000       |       -1921.31   |       -1925.99   |        4.68233   |     0.00798802      |    0.011928   |   03:31:09   |   06:15:22   |
19000       |       -1863.48   |       -1868.16   |        4.68172   |     0.00864244      |  0.00944575   |   03:42:50   |   06:03:34   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -1829.38   |       -1834.04   |        4.66373   |      0.0128307      |   0.0121963   |   03:54:36   |   05:51:54   |
21000       |       -1842.19   |       -1846.79   |        4.60792   |      0.0130125      |   0.0146806   |   04:06:12   |   05:39:59   |
22000       |        -1888.1   |       -1892.78   |        4.67934   |      0.0133652      |   0.0147791   |   04:17:54   |   05:28:14   |
23000       |       -1954.69   |       -1959.22   |        4.52798   |     0.00993481      |   0.0126586   |   04:29:37   |   05:16:30   |
24000       |       -1824.05   |       -1828.72   |        4.66903   |     0.00842831      |   0.0136037   |   04:41:25   |   05:04:52   |
25000       |       -1962.87   |       -1967.28   |        4.41167   |      0.0100068      |   0.0168243   |   04:53:10   |   04:53:10   |
26000       |       -1908.38   |       -1913.04   |        4.66445   |     0.00777351      |   0.0119432   |   05:05:00   |   04:41:32   |
27000       |       -1833.65   |       -1838.31   |        4.65808   |      0.0119255      |   0.0186705   |   05:16:52   |   04:29:55   |
28000       |       -1801.53   |       -1806.21   |        4.67899   |     0.00972358      |  0.00704229   |   05:28:37   |   04:18:11   |
29000       |       -1862.61   |       -1867.24   |        4.62571   |     0.00899975      |   0.0125964   |   05:40:08   |   04:06:18   |
30000       |       -1843.88   |       -1848.56   |         4.6776   |     0.00879492      |   0.0136579   |   05:51:26   |   03:54:17   |
31000       |        -1884.6   |       -1889.27   |        4.66551   |     0.00846462      |  0.00949126   |   06:02:46   |   03:42:20   |
32000       |       -1875.42   |       -1879.87   |        4.45247   |     0.00860796      |   0.0114516   |   06:14:12   |   03:30:29   |
33000       |       -1869.19   |       -1873.82   |        4.63661   |     0.00755515      |   0.0129705   |   06:25:46   |   03:18:43   |
34000       |       -1945.28   |       -1949.78   |        4.49457   |      0.0119325      |   0.0144038   |   06:37:05   |   03:06:51   |
35000       |       -1861.07   |       -1865.75   |        4.68058   |      0.0103839      |   0.0126273   |   06:48:32   |   02:55:05   |
36000       |       -1884.23   |       -1888.91   |        4.67416   |      0.0133771      |   0.0133487   |   06:59:53   |   02:43:17   |
37000       |        -1859.8   |       -1864.46   |        4.66374   |      0.0110369      |   0.0174016   |   07:11:02   |   02:31:26   |
38000       |       -1891.57   |       -1896.12   |        4.55251   |     0.00884872      |   0.0131512   |   07:22:19   |   02:19:40   |
39000       |       -1860.63   |       -1865.23   |        4.60279   |      0.0134338      |   0.0141305   |   07:33:36   |   02:07:56   |


Iter        |      Posterior   |     Likelihood   |          Prior   |       alpha[1]      |    alpha[2]   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
40000       |       -1846.77   |       -1851.35   |        4.57995   |      0.0113269      |  0.00961737   |   07:44:47   |   01:56:11   |
41000       |       -1898.75   |       -1903.43   |        4.67856   |       0.008185      |   0.0110216   |   07:55:55   |   01:44:28   |
42000       |       -1797.58   |       -1802.26   |        4.67357   |     0.00803735      |   0.0123696   |   08:07:11   |   01:32:47   |
43000       |       -1819.37   |       -1824.04   |        4.66958   |         0.0111      |   0.0185847   |   08:18:36   |   01:21:10   |
44000       |       -1932.73   |       -1937.22   |        4.48734   |      0.0119755      |   0.0144365   |   08:29:45   |   01:09:30   |
45000       |        -1818.4   |       -1823.08   |         4.6825   |     0.00840155      |   0.0099839   |   08:41:01   |   00:57:53   |
46000       |       -1832.92   |       -1837.61   |        4.68252   |      0.0139659      |   0.0193899   |   08:52:24   |   00:46:17   |
47000       |       -1809.36   |       -1813.97   |        4.61822   |     0.00892228      |   0.0130552   |   09:03:37   |   00:34:41   |
48000       |       -1788.21   |       -1792.88   |        4.67268   |      0.0114371      |   0.0151846   |   09:14:49   |   00:23:07   |
49000       |       -1829.71   |       -1834.34   |          4.621   |       0.012618      |   0.0126943   |   09:26:09   |   00:11:33   |
50000       |       -1906.04   |       -1910.72   |        4.67893   |       0.011487      |   0.0168553   |   09:37:07   |   00:00:00   |
